
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:03:11
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:03:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:03:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:03:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:03:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:03:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:03:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:03:47
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:04:22
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:12:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:12:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:12:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:12:28
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:12:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:12:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:12:43
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:12:48
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:13:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:13:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:13:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:13:28
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:13:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:13:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:13:43
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:13:48
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:15:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:15:44
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:15:49
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:16:14
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:16:20
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:16:25
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:16:30
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:16:35
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:16:40
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:16:45
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:17:15
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:17:20
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:17:25
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:17:30
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:17:35
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:17:40
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:17:45
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:18:15
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:18:20
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:18:25
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:18:30
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:18:35
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:18:40
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:18:45
Alarm: aai1-2, Tag: ai1, Value: 1, Time: 16-Feb-21 00:19:01
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:19:11
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:19:16
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:19:21
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:19:26
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:19:31
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:19:36
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:19:41
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:19:46
